ProductID,OrderQty,LineTotal,sales_reason_name,sales_reason_availability
867,15,548.546625,,N/A
904,4,873.816,,N/A
905,3,655.362,,N/A
917,1,158.43,,N/A
925,1,149.874,,N/A
980,4,1846.776,,N/A
981,1,461.694,,N/A
982,2,923.388,,N/A
983,3,1385.082,,N/A
989,3,971.982,,N/A
990,1,323.994,,N/A
991,1,323.994,,N/A
993,2,647.988,,N/A
867,1,69.99,Review,Available
743,1,809.76,,N/A
981,1,461.694,,N/A
867,2,83.988,,N/A
886,1,200.052,,N/A
889,5,3011.73,,N/A
892,2,1204.692,,N/A
893,2,1204.692,,N/A
895,3,600.156,,N/A
899,3,600.156,,N/A
900,1,200.052,,N/A
916,2,63.168,,N/A
953,1,728.91,,N/A
954,4,5721.768,,N/A
957,2,2860.884,,N/A
965,7,3117.87,,N/A
966,2,2860.884,,N/A
969,2,2860.884,,N/A
972,2,1457.82,,N/A
874,3,16.182,,N/A
875,2,10.788,,N/A
973,3,3061.782,,N/A
976,5,5102.97,,N/A
865,4,152.4,,N/A
945,3,164.682,,N/A
948,4,255.6,,N/A
951,3,728.982,,N/A
952,3,36.432,,N/A
953,5,3644.55,,N/A
954,2,2860.884,,N/A
955,2,2860.884,,N/A
957,1,1430.442,,N/A
958,5,2227.05,,N/A
959,5,2227.05,,N/A
960,3,1336.23,,N/A
961,2,890.82,,N/A
962,3,1336.23,,N/A
963,2,890.82,,N/A
965,2,890.82,,N/A
966,4,5721.768,,N/A
967,5,7152.21,,N/A
968,4,5721.768,,N/A
969,2,2860.884,,N/A
970,3,2186.73,,N/A
971,2,1457.82,,N/A
972,5,3644.55,,N/A
978,4,1781.64,,N/A
979,3,1336.23,,N/A
996,4,291.576,,N/A
889,6,3614.076,,N/A
893,2,1204.692,,N/A
895,2,400.104,,N/A
899,1,200.052,,N/A
900,3,600.156,,N/A
916,2,63.168,,N/A
954,6,8582.652,,N/A
957,2,2860.884,,N/A
958,2,890.82,,N/A
961,2,890.82,,N/A
969,2,2860.884,,N/A
972,2,1457.82,,N/A
979,6,2672.46,,N/A
984,1,338.994,,N/A
988,1,338.994,,N/A
867,12,477.387792,,N/A
904,2,436.908,,N/A
905,4,873.816,,N/A
917,1,158.43,,N/A
925,2,299.748,,N/A
980,2,923.388,,N/A
981,1,461.694,,N/A
982,2,923.388,,N/A
983,3,1385.082,,N/A
985,1,338.994,,N/A
986,3,1016.982,,N/A
987,4,1355.976,,N/A
989,2,647.988,,N/A
990,2,647.988,,N/A
991,2,647.988,,N/A
992,6,1943.964,,N/A
993,5,1619.97,,N/A
835,6,2141.388,,N/A
865,5,190.5,,N/A
938,1,24.294,,N/A
973,3,3061.782,,N/A
974,2,2041.188,,N/A
976,13,12568.955308,,N/A
738,4,809.328,,N/A
867,2,83.988,,N/A
882,1,53.99,,N/A
865,1,63.5,Price,Available
882,1,53.99,,N/A
967,1,2384.07,Manufacturer,Available
971,1,1214.85,,N/A
955,1,2384.07,Price,Available
955,1,2384.07,On Promotion,Available
937,1,48.594,,N/A
917,1,158.43,,N/A
949,3,315.882,,N/A
988,1,338.994,,N/A
865,7,266.7,,N/A
886,2,400.104,,N/A
889,1,602.346,,N/A
893,1,602.346,,N/A
895,2,400.104,,N/A
899,1,200.052,,N/A
916,1,31.584,,N/A
953,5,3644.55,,N/A
954,1,1430.442,,N/A
955,2,2860.884,,N/A
957,3,4291.326,,N/A
958,2,890.82,,N/A
959,2,890.82,,N/A
961,1,445.41,,N/A
962,4,1781.64,,N/A
967,2,2860.884,,N/A
969,2,2860.884,,N/A
970,2,1457.82,,N/A
972,6,4373.46,,N/A
991,1,539.99,Price,Available
991,1,539.99,On Promotion,Available
867,4,167.976,,N/A
945,1,54.894,,N/A
948,2,127.8,,N/A
951,3,728.982,,N/A
952,2,24.288,,N/A
955,1,1430.442,,N/A
956,3,4291.326,,N/A
957,1,1430.442,,N/A
958,1,445.41,,N/A
959,2,890.82,,N/A
960,1,445.41,,N/A
961,3,1336.23,,N/A
963,2,890.82,,N/A
964,1,445.41,,N/A
965,2,890.82,,N/A
966,1,1430.442,,N/A
969,1,1430.442,,N/A
970,2,1457.82,,N/A
971,2,1457.82,,N/A
972,2,1457.82,,N/A
979,1,445.41,,N/A
996,2,145.788,,N/A
885,1,602.346,,N/A
886,1,200.052,,N/A
889,1,602.346,,N/A
892,3,1807.038,,N/A
